ROTA,origem,destino,distancia_km,distancia_texto
MAUÁ/SP:RIO DE JANEIRO/RJ,MAUÁ/SP,RIO DE JANEIRO/RJ,452.118,452 km
URUGUAIANA/RS:SÃO PAULO/SP,URUGUAIANA/RS,SÃO PAULO/SP,1553.464,1.553 km
BETIM/MG:UBÁ/MG,BETIM/MG,UBÁ/MG,264.765,265 km
ERVÁLIA/MG:RIO DE JANEIRO/RJ,ERVÁLIA/MG,RIO DE JANEIRO/RJ,352.022,352 km
JUATUBA/MG:BELO HORIZONTE/MG,JUATUBA/MG,BELO HORIZONTE/MG,49.839,"49,8 km"
SÃO JOÃO DA LAGOA/MG:RIO DE JANEIRO/RJ,SÃO JOÃO DA LAGOA/MG,RIO DE JANEIRO/RJ,867.408,867 km
MONTE CARMELO/MG:BETIM/MG,MONTE CARMELO/MG,BETIM/MG,471.788,472 km
CÁSSIA/MG:RIO DE JANEIRO/RJ,CÁSSIA/MG,RIO DE JANEIRO/RJ,655.492,655 km
SÃO JOSÉ DOS PINHAIS/PR:GUARULHOS/SP,SÃO JOSÉ DOS PINHAIS/PR,GUARULHOS/SP,440.138,440 km
MARIANA/MG:SÃO PAULO/SP,MARIANA/MG,SÃO PAULO/SP,645.012,645 km
BELO HORIZONTE/MG:BARBACENA/MG,BELO HORIZONTE/MG,BARBACENA/MG,171.269,171 km
PIRAJUBA/MG:IGARAPÉ/MG,PIRAJUBA/MG,IGARAPÉ/MG,550.859,551 km
PIRANGA/MG:SÃO PAULO/SP,PIRANGA/MG,SÃO PAULO/SP,662.195,662 km
LAURO DE FREITAS/BA:SERRA/ES,LAURO DE FREITAS/BA,SERRA/ES,1139.775,1.140 km
CAMBUÍ/MG:BELO HORIZONTE/MG,CAMBUÍ/MG,BELO HORIZONTE/MG,431.419,431 km
RIO DE JANEIRO/RJ:LAVRAS/MG,RIO DE JANEIRO/RJ,LAVRAS/MG,430.102,430 km
GUARARÁ/MG:RIO DE JANEIRO/RJ,GUARARÁ/MG,RIO DE JANEIRO/RJ,214.434,214 km
RIO DE JANEIRO/RJ:PATOS DE MINAS/MG,RIO DE JANEIRO/RJ,PATOS DE MINAS/MG,815.735,816 km
RIO DE JANEIRO/RJ:PEDRALVA/MG,RIO DE JANEIRO/RJ,PEDRALVA/MG,351.467,351 km
SÃO JOÃO DEL REI/MG:RIO DE JANEIRO/RJ,SÃO JOÃO DEL REI/MG,RIO DE JANEIRO/RJ,335.65,336 km
PIRAÚBA/MG:RIO DE JANEIRO/RJ,PIRAÚBA/MG,RIO DE JANEIRO/RJ,281.032,281 km
ITAÚNA/MG:IGARAPÉ/MG,ITAÚNA/MG,IGARAPÉ/MG,61.232,"61,2 km"
SÃO PAULO/SP:IPATINGA/MG,SÃO PAULO/SP,IPATINGA/MG,793.727,794 km
VESPASIANO/MG:GUARULHOS/SP,VESPASIANO/MG,GUARULHOS/SP,596.101,596 km
JACUPIRANGA/SP:SÃO PAULO/SP,JACUPIRANGA/SP,SÃO PAULO/SP,231.893,232 km
SÃO PAULO/SP:IMPERATRIZ/MA,SÃO PAULO/SP,IMPERATRIZ/MA,2293.426,2.293 km
RESENDE/RJ:SÃO PAULO/SP,RESENDE/RJ,SÃO PAULO/SP,270.349,270 km
CAMANDUCAIA/MG:IGARAPÉ/MG,CAMANDUCAIA/MG,IGARAPÉ/MG,404.933,405 km
CRISTINA/MG:IGARAPÉ/MG,CRISTINA/MG,IGARAPÉ/MG,366.556,367 km
VAZANTE/MG:GUARULHOS/SP,VAZANTE/MG,GUARULHOS/SP,801.541,802 km
TIMÓTEO/MG:SÃO PAULO/SP,TIMÓTEO/MG,SÃO PAULO/SP,781.399,781 km
VALPARAÍSO/SP:SÃO PAULO/SP,VALPARAÍSO/SP,SÃO PAULO/SP,565.123,565 km
SANTANA DO RIACHO/MG:BETIM/MG,SANTANA DO RIACHO/MG,BETIM/MG,152.285,152 km
RAUL SOARES/MG:IGARAPÉ/MG,RAUL SOARES/MG,IGARAPÉ/MG,270.575,271 km
BRUMADINHO/MG:RIO DE JANEIRO/RJ,BRUMADINHO/MG,RIO DE JANEIRO/RJ,446.846,447 km
CAMPO GRANDE/MS:GOIÂNIA/GO,CAMPO GRANDE/MS,GOIÂNIA/GO,838.749,839 km
SÃO PAULO/SP:CURITIBA/PR,SÃO PAULO/SP,CURITIBA/PR,402.403,402 km
SANTOS DUMONT/MG:MESQUITA/RJ,SANTOS DUMONT/MG,MESQUITA/RJ,225.68,226 km
PIRAPORA/MG:IGARAPÉ/MG,PIRAPORA/MG,IGARAPÉ/MG,367.26,367 km
CATAS ALTAS/MG:BETIM/MG,CATAS ALTAS/MG,BETIM/MG,146.372,146 km
VARGINHA/MG:BELO HORIZONTE/MG,VARGINHA/MG,BELO HORIZONTE/MG,313.095,313 km
FORMIGA/MG:BELO HORIZONTE/MG,FORMIGA/MG,BELO HORIZONTE/MG,195.154,195 km
CAETÉ/MG:IGARAPÉ/MG,CAETÉ/MG,IGARAPÉ/MG,100.797,101 km
RIO DE JANEIRO/RJ:DIVINÓPOLIS/MG,RIO DE JANEIRO/RJ,DIVINÓPOLIS/MG,503.026,503 km
SÃO GONÇALO DO SAPUCAÍ/MG:SÃO PAULO/SP,SÃO GONÇALO DO SAPUCAÍ/MG,SÃO PAULO/SP,258.503,259 km
BARUERI/SP:RIO DE JANEIRO/RJ,BARUERI/SP,RIO DE JANEIRO/RJ,467.609,468 km
VARGINHA/MG:GUARULHOS/SP,VARGINHA/MG,GUARULHOS/SP,302.947,303 km
MURIAÉ/MG:IGARAPÉ/MG,MURIAÉ/MG,IGARAPÉ/MG,347.221,347 km
SÃO SEBASTIÃO DO RIO VERDE/MG:RIO DE JANEIRO/RJ,SÃO SEBASTIÃO DO RIO VERDE/MG,RIO DE JANEIRO/RJ,257.648,258 km
XANXERÊ/SC:SÃO PAULO/SP,XANXERÊ/SC,SÃO PAULO/SP,848.847,849 km
SÃO PEDRO/SP:SÃO PAULO/SP,SÃO PEDRO/SP,SÃO PAULO/SP,192.004,192 km
LAGOA SANTA/MG:IGARAPÉ/MG,LAGOA SANTA/MG,IGARAPÉ/MG,79.661,"79,7 km"
SÃO PAULO/SP:UNAÍ/MG,SÃO PAULO/SP,UNAÍ/MG,962.319,962 km
FORMIGA/MG:IGARAPÉ/MG,FORMIGA/MG,IGARAPÉ/MG,177.252,177 km
OLIVEIRA/MG:RIO DE JANEIRO/RJ,OLIVEIRA/MG,RIO DE JANEIRO/RJ,433.042,433 km
BARROSO/MG:IGARAPÉ/MG,BARROSO/MG,IGARAPÉ/MG,226.676,227 km
SÃO SEBASTIÃO DO OESTE/MG:RIO DE JANEIRO/RJ,SÃO SEBASTIÃO DO OESTE/MG,RIO DE JANEIRO/RJ,494.008,494 km
SANTOS/SP:SANTOS/SP,SANTOS/SP,SANTOS/SP,0.0,1 m
SETE LAGOAS/MG:SÃO PAULO/SP,SETE LAGOAS/MG,SÃO PAULO/SP,634.035,634 km
UNAÍ/MG:SUZANO/SP,UNAÍ/MG,SUZANO/SP,1005.108,1.005 km
CAMPO MOURÃO/PR:SÃO PAULO/SP,CAMPO MOURÃO/PR,SÃO PAULO/SP,720.375,720 km
BELO HORIZONTE/MG:CONGONHAS/MG,BELO HORIZONTE/MG,CONGONHAS/MG,79.828,"79,8 km"
UBÁ/MG:IGARAPÉ/MG,UBÁ/MG,IGARAPÉ/MG,280.364,280 km
IGARAPÉ/MG:ITAÚNA/MG,IGARAPÉ/MG,ITAÚNA/MG,63.434,"63,4 km"
GUARARAPES/SP:SÃO PAULO/SP,GUARARAPES/SP,SÃO PAULO/SP,546.342,546 km
ARCOS/MG:RIO DE JANEIRO/RJ,ARCOS/MG,RIO DE JANEIRO/RJ,568.717,569 km
CAMPO BELO/MG:IGARAPÉ/MG,CAMPO BELO/MG,IGARAPÉ/MG,171.404,171 km
COLOMBO/PR:SÃO PAULO/SP,COLOMBO/PR,SÃO PAULO/SP,407.619,408 km
CAÇAPAVA/SP:DIVINÓPOLIS/MG,CAÇAPAVA/SP,DIVINÓPOLIS/MG,460.58,461 km
CAMAÇARI/BA:SÃO PAULO/SP,CAMAÇARI/BA,SÃO PAULO/SP,1974.791,1.975 km
GUARATUBA/PR:SÃO PAULO/SP,GUARATUBA/PR,SÃO PAULO/SP,532.543,533 km
ANTÔNIO CARLOS/MG:RIO DE JANEIRO/RJ,ANTÔNIO CARLOS/MG,RIO DE JANEIRO/RJ,277.713,278 km
PIRAPORA/MG:SUZANO/SP,PIRAPORA/MG,SUZANO/SP,931.529,932 km
LUÍS ANTÔNIO/SP:SÃO PAULO/SP,LUÍS ANTÔNIO/SP,SÃO PAULO/SP,275.347,275 km
SANTA CRUZ DE MINAS/MG:RIO DE JANEIRO/RJ,SANTA CRUZ DE MINAS/MG,RIO DE JANEIRO/RJ,335.735,336 km
JOÃO PINHEIRO/MG:RIO DE JANEIRO/RJ,JOÃO PINHEIRO/MG,RIO DE JANEIRO/RJ,832.655,833 km
LONDRINA/PR:SÃO PAULO/SP,LONDRINA/PR,SÃO PAULO/SP,536.871,537 km
SUZANO/SP:UBERABA/MG,SUZANO/SP,UBERABA/MG,524.322,524 km
MOCOCA/SP:SÃO PAULO/SP,MOCOCA/SP,SÃO PAULO/SP,263.008,263 km
SÃO PAULO/SP:RIO DE JANEIRO/RJ,SÃO PAULO/SP,RIO DE JANEIRO/RJ,444.834,445 km
MURIAÉ/MG:GUARULHOS/SP,MURIAÉ/MG,GUARULHOS/SP,601.716,602 km
TAIOBEIRAS/MG:RIO DE JANEIRO/RJ,TAIOBEIRAS/MG,RIO DE JANEIRO/RJ,1111.948,1.112 km
CÂNDIDO DE ABREU/PR:SÃO PAULO/SP,CÂNDIDO DE ABREU/PR,SÃO PAULO/SP,673.029,673 km
CONTAGEM/MG:GUARULHOS/SP,CONTAGEM/MG,GUARULHOS/SP,557.862,558 km
BLUMENAU/SC:GOIÂNIA/GO,BLUMENAU/SC,GOIÂNIA/GO,1519.154,1.519 km
SANTA VITÓRIA/MG:BETIM/MG,SANTA VITÓRIA/MG,BETIM/MG,714.656,715 km
SÃO PAULO/SP:NOVA LIMA/MG,SÃO PAULO/SP,NOVA LIMA/MG,601.235,601 km
JACUTINGA/MG:BETIM/MG,JACUTINGA/MG,BETIM/MG,442.573,443 km
CARMO DO PARANAÍBA/MG:GUARULHOS/SP,CARMO DO PARANAÍBA/MG,GUARULHOS/SP,710.143,710 km
ITAMBÉ DO MATO DENTRO/MG:RIO DE JANEIRO/RJ,ITAMBÉ DO MATO DENTRO/MG,RIO DE JANEIRO/RJ,560.274,560 km
QUATRO BARRAS/PR:SÃO PAULO/SP,QUATRO BARRAS/PR,SÃO PAULO/SP,395.014,395 km
ALÉM PARAÍBA/MG:IGARAPÉ/MG,ALÉM PARAÍBA/MG,IGARAPÉ/MG,414.882,415 km
SÃO PAULO/SP:APARECIDA DE GOIÂNIA/GO,SÃO PAULO/SP,APARECIDA DE GOIÂNIA/GO,885.741,886 km
NOVA LIMA/MG:CONTAGEM/MG,NOVA LIMA/MG,CONTAGEM/MG,33.08,"33,1 km"
BARBACENA/MG:BELO HORIZONTE/MG,BARBACENA/MG,BELO HORIZONTE/MG,171.917,172 km
SÃO LUÍS/MA:SÃO BERNARDO DO CAMPO/SP,SÃO LUÍS/MA,SÃO BERNARDO DO CAMPO/SP,3083.025,3.083 km
JUATUBA/MG:SÃO PAULO/SP,JUATUBA/MG,SÃO PAULO/SP,569.63,570 km
IVAIPORÃ/PR:SÃO PAULO/SP,IVAIPORÃ/PR,SÃO PAULO/SP,693.75,694 km
ITUIUTABA/MG:SUZANO/SP,ITUIUTABA/MG,SUZANO/SP,726.193,726 km
RIO DE JANEIRO/RJ:LEOPOLDINA/MG,RIO DE JANEIRO/RJ,LEOPOLDINA/MG,235.028,235 km
RECIFE/PE:SÃO BERNARDO DO CAMPO/SP,RECIFE/PE,SÃO BERNARDO DO CAMPO/SP,2676.491,2.676 km
CATAGUASES/MG:BETIM/MG,CATAGUASES/MG,BETIM/MG,331.232,331 km
BETIM/MG:LAGOA SANTA/MG,BETIM/MG,LAGOA SANTA/MG,66.101,"66,1 km"
SÃO PAULO/SP:VOTORANTIM/SP,SÃO PAULO/SP,VOTORANTIM/SP,103.127,103 km
BAMBUÍ/MG:BETIM/MG,BAMBUÍ/MG,BETIM/MG,233.563,234 km
PILAR DO SUL/SP:SÃO PAULO/SP,PILAR DO SUL/SP,SÃO PAULO/SP,151.418,151 km
UBERABA/MG:GUARULHOS/SP,UBERABA/MG,GUARULHOS/SP,495.051,495 km
UBÁ/MG:SÃO PAULO/SP,UBÁ/MG,SÃO PAULO/SP,574.043,574 km
BETIM/MG:ANÁPOLIS/GO,BETIM/MG,ANÁPOLIS/GO,841.034,841 km
BUENO BRANDÃO/MG:RIO DE JANEIRO/RJ,BUENO BRANDÃO/MG,RIO DE JANEIRO/RJ,447.966,448 km
ITAGUARA/MG:RIO DE JANEIRO/RJ,ITAGUARA/MG,RIO DE JANEIRO/RJ,478.797,479 km
FORTALEZA/CE:SÃO PAULO/SP,FORTALEZA/CE,SÃO PAULO/SP,3091.222,3.091 km
PIRAJU/SP:SÃO PAULO/SP,PIRAJU/SP,SÃO PAULO/SP,333.518,334 km
CAÇAPAVA/SP:CONTAGEM/MG,CAÇAPAVA/SP,CONTAGEM/MG,520.61,521 km
PIRAQUARA/PR:SÃO PAULO/SP,PIRAQUARA/PR,SÃO PAULO/SP,407.168,407 km
PLANURA/MG:RIO DE JANEIRO/RJ,PLANURA/MG,RIO DE JANEIRO/RJ,875.097,875 km
MONTE AZUL/MG:BETIM/MG,MONTE AZUL/MG,BETIM/MG,669.193,669 km
ITU/SP:SÃO PAULO/SP,ITU/SP,SÃO PAULO/SP,102.109,102 km
RIO DE JANEIRO/RJ:CONTAGEM/MG,RIO DE JANEIRO/RJ,CONTAGEM/MG,444.577,445 km
RIO DE JANEIRO/RJ:JANAÚBA/MG,RIO DE JANEIRO/RJ,JANAÚBA/MG,987.398,987 km
BELO HORIZONTE/MG:BETIM/MG,BELO HORIZONTE/MG,BETIM/MG,31.028,"31,0 km"
BOM DESPACHO/MG:BETIM/MG,BOM DESPACHO/MG,BETIM/MG,129.556,130 km
BETIM/MG:JUIZ DE FORA/MG,BETIM/MG,JUIZ DE FORA/MG,287.435,287 km
PARACATU/MG:SÃO PAULO/SP,PARACATU/MG,SÃO PAULO/SP,859.35,859 km
PATROCÍNIO/MG:IGARAPÉ/MG,PATROCÍNIO/MG,IGARAPÉ/MG,401.336,401 km
BETIM/MG:BONFINÓPOLIS DE MINAS/MG,BETIM/MG,BONFINÓPOLIS DE MINAS/MG,562.218,562 km
IGARAPÉ/MG:SÃO JOÃO EVANGELISTA/MG,IGARAPÉ/MG,SÃO JOÃO EVANGELISTA/MG,328.125,328 km
BELO HORIZONTE/MG:BELO ORIENTE/MG,BELO HORIZONTE/MG,BELO ORIENTE/MG,254.195,254 km
BALSAS/MA:PRIMAVERA DO LESTE/MT,BALSAS/MA,PRIMAVERA DO LESTE/MT,1836.833,1.837 km
RIO DE JANEIRO/RJ:PERDÕES/MG,RIO DE JANEIRO/RJ,PERDÕES/MG,453.942,454 km
DIVINÓPOLIS/MG:IGARAPÉ/MG,DIVINÓPOLIS/MG,IGARAPÉ/MG,99.202,"99,2 km"
JOANÉSIA/MG:GUARULHOS/SP,JOANÉSIA/MG,GUARULHOS/SP,826.993,827 km
CONGONHAS/MG:RIO DE JANEIRO/RJ,CONGONHAS/MG,RIO DE JANEIRO/RJ,365.512,366 km
UNIÃO DA VITÓRIA/PR:SÃO PAULO/SP,UNIÃO DA VITÓRIA/PR,SÃO PAULO/SP,652.914,653 km
RIO DE JANEIRO/RJ:PEDRA AZUL/MG,RIO DE JANEIRO/RJ,PEDRA AZUL/MG,978.891,979 km
MAUÁ/SP:CURITIBA/PR,MAUÁ/SP,CURITIBA/PR,443.075,443 km
TATUÍ/SP:SÃO PAULO/SP,TATUÍ/SP,SÃO PAULO/SP,142.491,142 km
PIRAJUBA/MG:BELO HORIZONTE/MG,PIRAJUBA/MG,BELO HORIZONTE/MG,568.761,569 km
PIRANGI/SP:SÃO PAULO/SP,PIRANGI/SP,SÃO PAULO/SP,382.487,382 km
BURITIS/MG:RIO DE JANEIRO/RJ,BURITIS/MG,RIO DE JANEIRO/RJ,1182.177,1.182 km
SÃO BENTO ABADE/MG:RIO DE JANEIRO/RJ,SÃO BENTO ABADE/MG,RIO DE JANEIRO/RJ,394.839,395 km
ITUMBIARA/GO:SÃO PAULO/SP,ITUMBIARA/GO,SÃO PAULO/SP,697.923,698 km
PALMAS/TO:CAÇAPAVA/SP,PALMAS/TO,CAÇAPAVA/SP,1894.503,1.895 km
RIO DE JANEIRO/RJ:VESPASIANO/MG,RIO DE JANEIRO/RJ,VESPASIANO/MG,475.07,475 km
ARAÚJOS/MG:BETIM/MG,ARAÚJOS/MG,BETIM/MG,121.666,122 km
BELO HORIZONTE/MG:GUARULHOS/SP,BELO HORIZONTE/MG,GUARULHOS/SP,569.171,569 km
DIVINÓPOLIS/MG:RIO DE JANEIRO/RJ,DIVINÓPOLIS/MG,RIO DE JANEIRO/RJ,502.095,502 km
BELO HORIZONTE/MG:GUAXUPÉ/MG,BELO HORIZONTE/MG,GUAXUPÉ/MG,417.561,418 km
CABECEIRA GRANDE/MG:RIO DE JANEIRO/RJ,CABECEIRA GRANDE/MG,RIO DE JANEIRO/RJ,1097.452,1.097 km
RIO DE JANEIRO/RJ:SANTANA DO PARAÍSO/MG,RIO DE JANEIRO/RJ,SANTANA DO PARAÍSO/MG,580.797,581 km
PITANGUI/MG:GUARULHOS/SP,PITANGUI/MG,GUARULHOS/SP,556.748,557 km
ENTRE RIOS DE MINAS/MG:RIO DE JANEIRO/RJ,ENTRE RIOS DE MINAS/MG,RIO DE JANEIRO/RJ,376.513,377 km
SÃO GONÇALO DO SAPUCAÍ/MG:RIO DE JANEIRO/RJ,SÃO GONÇALO DO SAPUCAÍ/MG,RIO DE JANEIRO/RJ,382.553,383 km
SARANDI/PR:SÃO PAULO/SP,SARANDI/PR,SÃO PAULO/SP,624.649,625 km
PASSA-VINTE/MG:RIO DE JANEIRO/RJ,PASSA-VINTE/MG,RIO DE JANEIRO/RJ,186.153,186 km
BELÉM/PA:MACEIÓ/AL,BELÉM/PA,MACEIÓ/AL,2084.069,2.084 km
JACUTINGA/MG:IGARAPÉ/MG,JACUTINGA/MG,IGARAPÉ/MG,425.927,426 km
CARNEIRINHO/MG:BETIM/MG,CARNEIRINHO/MG,BETIM/MG,768.226,768 km
BETIM/MG:JOÃO MONLEVADE/MG,BETIM/MG,JOÃO MONLEVADE/MG,144.748,145 km
POUSO ALEGRE/MG:IGARAPÉ/MG,POUSO ALEGRE/MG,IGARAPÉ/MG,348.473,348 km
PERDÕES/MG:RIO DE JANEIRO/RJ,PERDÕES/MG,RIO DE JANEIRO/RJ,452.622,453 km
ARAÇATUBA/SP:JUNDIAÍ/SP,ARAÇATUBA/SP,JUNDIAÍ/SP,493.025,493 km
CAÇAPAVA/SP:BETIM/MG,CAÇAPAVA/SP,BETIM/MG,501.808,502 km
JURUAIA/MG:GUARULHOS/SP,JURUAIA/MG,GUARULHOS/SP,328.498,328 km
ITABIRITO/MG:SÃO PAULO/SP,ITABIRITO/MG,SÃO PAULO/SP,631.939,632 km
SÃO JOSÉ DOS PINHAIS/PR:LIMEIRA/SP,SÃO JOSÉ DOS PINHAIS/PR,LIMEIRA/SP,539.85,540 km
NOVA LIMA/MG:RIO DE JANEIRO/RJ,NOVA LIMA/MG,RIO DE JANEIRO/RJ,450.058,450 km
RIO DE JANEIRO/RJ:UBERLÂNDIA/MG,RIO DE JANEIRO/RJ,UBERLÂNDIA/MG,990.842,991 km
SÃO PAULO/SP:VESPASIANO/MG,SÃO PAULO/SP,VESPASIANO/MG,613.029,613 km
IGARAPÉ/MG:PARÁ DE MINAS/MG,IGARAPÉ/MG,PARÁ DE MINAS/MG,66.937,"66,9 km"
NOVA INDEPENDÊNCIA/SP:SÃO PAULO/SP,NOVA INDEPENDÊNCIA/SP,SÃO PAULO/SP,658.443,658 km
ITUMIRIM/MG:RIO DE JANEIRO/RJ,ITUMIRIM/MG,RIO DE JANEIRO/RJ,411.435,411 km
SÃO JOSÉ DOS PINHAIS/PR:BRASÍLIA/DF,SÃO JOSÉ DOS PINHAIS/PR,BRASÍLIA/DF,1398.547,1.399 km
CARATINGA/MG:SÃO PAULO/SP,CARATINGA/MG,SÃO PAULO/SP,791.296,791 km
FRANCA/SP:SÃO PAULO/SP,FRANCA/SP,SÃO PAULO/SP,399.96,400 km
GUAXUPÉ/MG:BELO HORIZONTE/MG,GUAXUPÉ/MG,BELO HORIZONTE/MG,416.63,417 km
RIO DE JANEIRO/RJ:MATOZINHOS/MG,RIO DE JANEIRO/RJ,MATOZINHOS/MG,492.813,493 km
IBIÁ/MG:BETIM/MG,IBIÁ/MG,BETIM/MG,303.935,304 km
ALTEROSA/MG:BELO HORIZONTE/MG,ALTEROSA/MG,BELO HORIZONTE/MG,387.353,387 km
ITANHANDU/MG:RIO DE JANEIRO/RJ,ITANHANDU/MG,RIO DE JANEIRO/RJ,250.901,251 km
OLIVEIRA/MG:GUARULHOS/SP,OLIVEIRA/MG,GUARULHOS/SP,427.748,428 km
BETIM/MG:FRANCISCO SÁ/MG,BETIM/MG,FRANCISCO SÁ/MG,481.895,482 km
SÃO GOTARDO/MG:UBERLÂNDIA/MG,SÃO GOTARDO/MG,UBERLÂNDIA/MG,286.378,286 km
BELO HORIZONTE/MG:SETE LAGOAS/MG,BELO HORIZONTE/MG,SETE LAGOAS/MG,73.865,"73,9 km"
CONCEIÇÃO DAS ALAGOAS/MG:BETIM/MG,CONCEIÇÃO DAS ALAGOAS/MG,BETIM/MG,501.209,501 km
CURIÚVA/PR:SÃO PAULO/SP,CURIÚVA/PR,SÃO PAULO/SP,547.922,548 km
ILICÍNEA/MG:BETIM/MG,ILICÍNEA/MG,BETIM/MG,272.326,272 km
MATIPÓ/MG:BETIM/MG,MATIPÓ/MG,BETIM/MG,276.82,277 km
VIRGÍNIA/MG:RIO DE JANEIRO/RJ,VIRGÍNIA/MG,RIO DE JANEIRO/RJ,272.311,272 km
JUATUBA/MG:JUATUBA/MG,JUATUBA/MG,JUATUBA/MG,0.0,1 m
CORONEL FABRICIANO/MG:UBERLÂNDIA/MG,CORONEL FABRICIANO/MG,UBERLÂNDIA/MG,730.021,730 km
TRÊS CORAÇÕES/MG:IGARAPÉ/MG,TRÊS CORAÇÕES/MG,IGARAPÉ/MG,246.594,247 km
VESPASIANO/MG:SUZANO/SP,VESPASIANO/MG,SUZANO/SP,637.399,637 km
JANAÚBA/MG:RIO DE JANEIRO/RJ,JANAÚBA/MG,RIO DE JANEIRO/RJ,984.094,984 km
CONCHAL/SP:SÃO PAULO/SP,CONCHAL/SP,SÃO PAULO/SP,173.314,173 km
PARÁ DE MINAS/MG:RIO DE JANEIRO/RJ,PARÁ DE MINAS/MG,RIO DE JANEIRO/RJ,513.26,513 km
PARANAGUÁ/PR:SÃO PAULO/SP,PARANAGUÁ/PR,SÃO PAULO/SP,449.017,449 km
RIO DE JANEIRO/RJ:TRÊS PONTAS/MG,RIO DE JANEIRO/RJ,TRÊS PONTAS/MG,424.946,425 km
IGARAPÉ/MG:GUARULHOS/SP,IGARAPÉ/MG,GUARULHOS/SP,523.234,523 km
REDUTO/MG:IGARAPÉ/MG,REDUTO/MG,IGARAPÉ/MG,331.608,332 km
BETIM/MG:GUARANI/MG,BETIM/MG,GUARANI/MG,293.707,294 km
CAPINÓPOLIS/MG:BETIM/MG,CAPINÓPOLIS/MG,BETIM/MG,669.467,669 km
CONTAGEM/MG:BRASÍLIA/DF,CONTAGEM/MG,BRASÍLIA/DF,725.376,725 km
SALVADOR/BA:SERRA/ES,SALVADOR/BA,SERRA/ES,,
TUPACIGUARA/MG:RIO DE JANEIRO/RJ,TUPACIGUARA/MG,RIO DE JANEIRO/RJ,1061.806,1.062 km
ÁLVARES MACHADO/SP:SÃO PAULO/SP,ÁLVARES MACHADO/SP,SÃO PAULO/SP,567.657,568 km
OURO FINO/MG:RIO DE JANEIRO/RJ,OURO FINO/MG,RIO DE JANEIRO/RJ,433.515,434 km
ITURAMA/MG:GOIÂNIA/GO,ITURAMA/MG,GOIÂNIA/GO,476.449,476 km
BARUERI/SP:RECIFE/PE,BARUERI/SP,RECIFE/PE,2689.269,2.689 km
LAGOA FORMOSA/MG:RIO DE JANEIRO/RJ,LAGOA FORMOSA/MG,RIO DE JANEIRO/RJ,804.463,804 km
SÃO JOÃO DEL REI/MG:GUARULHOS/SP,SÃO JOÃO DEL REI/MG,GUARULHOS/SP,455.61,456 km
IGARAPÉ/MG:PATROCÍNIO/MG,IGARAPÉ/MG,PATROCÍNIO/MG,395.753,396 km
RIO PIRACICABA/MG:RIO DE JANEIRO/RJ,RIO PIRACICABA/MG,RIO DE JANEIRO/RJ,505.656,506 km
PADRE PARAÍSO/MG:RIO DE JANEIRO/RJ,PADRE PARAÍSO/MG,RIO DE JANEIRO/RJ,826.164,826 km
NOVA PONTE/MG:BETIM/MG,NOVA PONTE/MG,BETIM/MG,445.942,446 km
VIÇOSA/MG:BETIM/MG,VIÇOSA/MG,BETIM/MG,244.97,245 km
RIO DE JANEIRO/RJ:ITANHANDU/MG,RIO DE JANEIRO/RJ,ITANHANDU/MG,250.443,250 km
SÃO JOÃO DA BOA VISTA/SP:SÃO PAULO/SP,SÃO JOÃO DA BOA VISTA/SP,SÃO PAULO/SP,216.475,216 km
PRATA/MG:BETIM/MG,PRATA/MG,BETIM/MG,594.232,594 km
DIAMANTINA/MG:BETIM/MG,DIAMANTINA/MG,BETIM/MG,299.783,300 km
CANITAR/SP:SÃO PAULO/SP,CANITAR/SP,SÃO PAULO/SP,372.794,373 km
BELA VISTA DE MINAS/MG:SÃO PAULO/SP,BELA VISTA DE MINAS/MG,SÃO PAULO/SP,708.209,708 km
GUARANÉSIA/MG:RIO DE JANEIRO/RJ,GUARANÉSIA/MG,RIO DE JANEIRO/RJ,572.865,573 km
CANOINHAS/SC:SÃO PAULO/SP,CANOINHAS/SC,SÃO PAULO/SP,597.879,598 km
SÃO SEBASTIÃO DO PARAÍSO/MG:BELO HORIZONTE/MG,SÃO SEBASTIÃO DO PARAÍSO/MG,BELO HORIZONTE/MG,396.111,396 km
PAPAGAIOS/MG:BETIM/MG,PAPAGAIOS/MG,BETIM/MG,113.961,114 km
ARAÇUAÍ/MG:BETIM/MG,ARAÇUAÍ/MG,BETIM/MG,603.051,603 km
RECIFE/PE:BRASÍLIA/DF,RECIFE/PE,BRASÍLIA/DF,2120.229,2.120 km
BETIM/MG:RECREIO/MG,BETIM/MG,RECREIO/MG,375.311,375 km
RIO DE JANEIRO/RJ:SOROCABA/SP,RIO DE JANEIRO/RJ,SOROCABA/SP,528.954,529 km
SÃO JOÃO BATISTA DO GLÓRIA/MG:SUZANO/SP,SÃO JOÃO BATISTA DO GLÓRIA/MG,SUZANO/SP,445.591,446 km
PEREIRA BARRETO/SP:SÃO PAULO/SP,PEREIRA BARRETO/SP,SÃO PAULO/SP,626.338,626 km
NOVA ANDRADINA/MS:SÃO BERNARDO DO CAMPO/SP,NOVA ANDRADINA/MS,SÃO BERNARDO DO CAMPO/SP,824.136,824 km
FORTALEZA/CE:BRASÍLIA/DF,FORTALEZA/CE,BRASÍLIA/DF,2117.32,2.117 km
SALINAS/MG:RIO DE JANEIRO/RJ,SALINAS/MG,RIO DE JANEIRO/RJ,1066.756,1.067 km
CURITIBA/PR:RIO DE JANEIRO/RJ,CURITIBA/PR,RIO DE JANEIRO/RJ,851.645,852 km
